字	分部	原書讀音	原書聲調	版本標記	含粵語音義版本標記	(1974)頁	(1974)位置	(1974)解釋	(1974)數碼化編註	(1996)編號	(1996)頁	(1996)位置	(1996)解釋	(1996)數碼化編註	讀音
鴉	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	1			00001	1	1			[3]aa1
丫	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	2			00002	1	2			[3]aa1
吖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	3			00003	1	3			[3]aa1
枒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	4			00004	1	4			[3]aa1
雅	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	5			00005	1	5			[3]aa1
椏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	6			00006	1	6			[3]aa1
鵶	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	0	1	7			00007	1	7			[3]aa1
孲	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰平聲	3	3	1	8	赤子，《集韻》。蘇～仔，新生孩		00008	1	8			[3]aa1
啞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	1			00009	1	1			[3]aa2
瘂	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	2			00010	1	2			[3]aa2
𤺘	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	3			00011	1	3			[3]aa2
阿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰上聲	3	0	1	4			00012	1	4			[3]aa2
亞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	1			00013	1	1			[3]aa3
婭	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	2			00014	1	2			[3]aa3
氬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	3			00015	1	3			[3]aa3
稏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	4			00016	1	4			[3]aa3
呀	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	5			00017	1	5			[3]aa3
谺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	6			00018	1	6			[3]aa3
襾	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	7			00019	1	7			[3]aa3
阿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	8			00020	1	8			[3]aa3
錒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	9			00021	1	9			[3]aa3
欬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	a	陰去聲	3	0	1	10			00022	1	10			[3]aa3
牙	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	1			00023	1	1			[3]ngaa4
芽	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	2			00024	1	2			[3]ngaa4
枒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	3			00025	1	3			[3]ngaa4
蚜	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	4			00026	1	4			[3]ngaa4
衙	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	5			00027	1	5			[3]ngaa4
禡	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽平聲	3	0	1	6			00028	1	6			[3]ngaa4
瓦	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽上聲	3	0	1	1			00029	1	1			[3]ngaa5
雅	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽上聲	3	0	1	2			00030	1	2			[3]ngaa5
疋	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽上聲	3	0	1	3			00031	1	3			[3]ngaa5
訝	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽去聲	3	0	1	1			00032	1	1			[3]ngaa6
砑	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽去聲	3	0	1	2			00033	1	2			[3]ngaa6
迓	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽去聲	3	0	1	3			00034	1	3			[3]ngaa6
御	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽去聲	3	0	1	4			00035	2	4			[3]ngaa6
𦜖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	nga	陽去聲	3	3	1	5	～膪。肥胖，阻礙		00036	2	5			[3]ngaa6
鴨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ab	中入聲	3	0	1	1			00037	2	1			[3]aap8
押	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ab	中入聲	3	0	1	2			00038	2	2			[3]aap8
擪	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngab	中入聲	2	0					00039	2	1	語詞，又讀jab。將物塞入袋或腰帶。		[2]ngaap8
壓	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	1			00040	2	1			[3]aat8
押	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	2			00041	2	2			[3]aat8
揠	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	3			00042	2	3			[3]aat8
歹	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	4			00043	2	4			[3]aat8
歺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	5			00044	2	5			[3]aat8
遏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	6			00045	2	6			[3]aat8
餲	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	7			00046	2	7			[3]aat8
閼	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	8			00047	2	8			[3]aat8
頞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	9			00048	2	9			[3]aat8
恝	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	10			00049	2	10			[3]aat8
戞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	11			00050	2	11			[3]aat8
秸	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	12			00051	2	12			[3]aat8
胺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	2	0					00052	2	1	語詞，尿臭氣味，如「～堪堪」。《廣韻》音遇，肉敗臭也。見《廣州話本字考》。		[2]aat8
稭	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	13			00058	2	1			[3:also]aat8
嘠	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	14			00057	2	2			[3]aat8
頡	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	15			00056	2	3			[3:also]aat8
拮	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	16			00055	2	4			[3]aat8
嚈	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	17			00054	2	5			[3]aat8
軋	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ad	中入聲	3	0	1	18	罕讀。傾～，互相排擠也。據《粵音辯正商榷》應讀壓，但人多習讀札音		00053	2	6			[3:rare]aat8;[3:common]zaat8
齧	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngad	陽入聲	3	0	1	1			00059	2	1			[3:also]ngaat9
唉	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰平聲	3	3	1	1	～吔。語音，呼喊聲		00060	2	1			[3:verbal]ai1
誽	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰平聲	3	0	1	2			00061	2	2	語詞。懇求他人，即輭求也，見《亞乜話齋閑話》。此字本音詣，惹也，即招引或挑逗，見《說文》段注。而《學粵詞典》此詞則寫作𠼮，並有「細𠼮」一詞，即吝嗇小氣，音則帶ng。		[3]ai1
矮	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰上聲	3	0	1	1			00062	3	1			[3]ai2
翳	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	3	0	1	1			00063	3	1			[3]ai3
縊	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	3	0	1	2			00064	3	2			[3]ai3
曀	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	3	0	1	3			00065	3	3			[3]ai3
屭	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	3	0	1	4			00066	3	4			[3:also]ai3
瞖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	3	0	1	5			00067	3	5			[3]ai3
㜇	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ae	陰去聲	2	0					00068	3	1	語詞，心情煩悶使人生氣，如「閉～」「～滯」及「心～」。見《廣州話本字考》。此字本音恚，意不悅也，見《攷正字彙》。俗作翳。		[2]ai3
危	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	1			00069	3	1			[3]ngai4
兒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	2			00070	3	2			[3]ngai4
倪	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	3			00071	3	3			[3]ngai4
猊	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	4			00072	3	4			[3]ngai4
蜺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	5			00073	3	5			[3]ngai4
貎	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	6			00074	3	6			[3]ngai4
輗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	7			00075	3	7			[3]ngai4
郳	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	8			00076	3	8			[3]ngai4
霓	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	9			00077	3	9			[3]ngai4
麑	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	10			00078	3	10			[3]ngai4
齯	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	11			00079	3	11			[3]ngai4
隗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	1	12			00080	3	12			[3:common]ngai4
巍	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	2	13			00081	3	13			[3]ngai4
嵬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	2	14	通上（【巍】），高而不平		00082	3	14			[3]ngai4
鯢	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽平聲	3	0	2	15			00083	3	15			[3]ngai4
蟻	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	1			00084	3	1			[3]ngai5
檥	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	2			00085	3	2			[3]ngai5
艤	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	3			00086	3	3			[3]ngai5
蛾	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	4			00087	3	4			[3]ngai5
螘	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	5			00088	3	5			[3]ngai5
顗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	6			00089	3	6			[3]ngai5
頠	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	7	閑習，俯仰，靜也。習讀低平		00090	3	7			[3]ngai5;[3:common]ngai4
隗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	8			00091	3	8			[3:original]ngai5
睨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	9			00092	3	9			[3:common]ngai5
詣	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽上聲	3	0	2	10			00093	3	10			[3:also]ngai5
魏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	1			00094	3	1			[3]ngai6
毅	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	2			00095	3	2			[3]ngai6
埶	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	3			00096	3	3			[3]ngai6
蓺	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	4			00097	3	4			[3]ngai6
藝	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	5			00098	3	5			[3]ngai6
囈	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	6			00099	3	6			[3]ngai6
襼	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	7			00100	3	7			[3]ngai6
詣	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	8			00101	3	8			[3]ngai6
睨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	9			00102	3	9			[3:also]ngai6
偽	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	10			00103	3	10			[3]ngai6
羿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngae	陽去聲	3	0	2	11			00104	3	11			[3]ngai6
軛	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	1			00105	4	1			[3]aak7
厄	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	2			00106	4	2			[3:verbal]aak7
呃	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	3			00107	4	3			[3:verbal]aak7
扼	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	4			00108	4	4			[3:verbal]aak7
阨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	5			00109	4	5			[3]aak7
戹	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	6			00110	4	6			[3]aak7
握	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	7			00111	4	7			[3:verbal]aak7
偓	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	8			00112	4	8			[3:verbal]aak7
渥	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	9			00113	4	9			[3:verbal]aak7
喔	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	10			00114	4	10			[3:verbal]aak7
幄	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	11			00115	4	11			[3:verbal]aak7
齷	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	12			00116	4	12			[3:verbal]aak7
啞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	13			00117	4	13			[3:verbal]aak7
搤	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	14			00118	4	14			[3:verbal]aak7
餩	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	15			00119	4	15			[3:verbal]aak7
鈪	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	中入聲	3	3	2	1	粵字。手～，腕環		00120	4	1			[3]aak8
阿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	中入聲	3	0	2	2			00121	4	2			[3]aak8
𧦠	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ag	陰入聲	3	0	2	1			00122	4	1			[3]aak7
額	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngag	陽入聲	3	0	2	1			00123	4	1			[3]ngaak9
逆	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngag	陽入聲	3	0	2	2			00124	4	2			[3]ngaak9
頟	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngag	陽入聲	3	0	2	3			00125	4	3			[3]ngaak9
詻	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngag	陽入聲	3	0	2	4			00126	4	4			[3]ngaak9
唉	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰平聲	3	0	2	1			00127	4	1			[3:verbal]aai1
挨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰平聲	3	0	2	2			00128	4	2	靠近，強進，依次倚靠。語詞「挨𩩍椅」aipeng(均高平聲)即有靠背之椅，引伸為牀𩩍，即牀兩頭之檔板（俗用近音字拼代𩩍非）。		[3]aai1
埃	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰平聲	3	0	2	3	又讀。～及		00129	4	3			[3:also]aai1
哎	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰平聲	3	0	2	4			00130	4	4			[3]aai1
嗌	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰去聲	3	3	2	1	語詞。～交，相罵、口角、吵鬧		00131	4	1	相罵、口角、吵鬧。語詞，～交。字本作呝，見《廣州話本字考》。據《集韻》音隘，聲不平也。		[3]aai3
隘	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰去聲	3	0	2	2			00132	4	2			[3]aai3
餲	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰去聲	3	0	2	3			00133	5	3			[3]aai3
:⿰口靄	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰去聲	3	3	2	4	粵字。叫也，大聲疾呼		00134	5	4			[3]aai3
阨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陰去聲	3	0	2	5			00135	5	5			[3]aai3
崖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	1			00136	5	1			[3]aai4
厓	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	2			00137	5	2			[3]aai4
涯	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	3			00138	5	3			[3]aai4
捱	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	4			00139	5	4			[3]aai4
睚	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	5			00140	5	5			[3]aai4
挨	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽平聲	3	0	2	6			00141	5	6			[3]aai4
艾	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽去聲	3	0	2	1			00142	5	1			[3]aai6
刈	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽去聲	3	0	2	2			00143	5	2			[3]aai6
乂	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽去聲	3	0	2	3			00144	5	3			[3]aai6
捱	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽去聲	3	0	2	4			00145	5	4			[3]aai6
砹	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ai	陽去聲	2	0					145A	5	1			[2]aai6
恰	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	am	陰平聲	3	3	2	1	語音。適合，對也。～～，適逢其時		00146	5	1			[3:verbal]aam1
啱	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	am	陰平聲	3	3	2	2	恰字之粵俗寫，等於北京之「剛」		00147	5	2			[3]aam1
菡	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	am	陰上聲	3	0	2	1			00148	5	1			[3]aam2
啱	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陰平聲	3	3	2	1	又讀。恰字俗寫		00149	5	1			[3:also]ngaam1
巖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽平聲	3	0	2	1			00150	5	1			[3]ngaam4
岩	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽平聲	3	0	2	2			00151	5	2			[3]ngaam4
喦	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽平聲	3	0	2	3			00152	5	3			[3]ngaam4
癌	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽平聲	3	0	2	4			00153	5	4			[3]ngaam4
碞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽平聲	2	0					00154	5	5			[2]ngaam4
頷	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngam	陽上聲	3	0	2	1			00155	5	1			[3:also]ngaam5
殷	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	an	陰平聲	3	0	2	1			00156	5	1			[3:common]aan1
晏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	an	陰去聲	3	0	2	1			00157	5	1			[3]aan3
鷃	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	an	陰去聲	3	0	2	2			00158	5	2			[3]aan3
顏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽平聲	3	0	3	1			00159	5	1			[3]ngaan4
研	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽平聲	3	0	3	2	又讀。～碎。見《粵音辯正商榷》		00160	5	2			[3:also]ngaan4
碾	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽平聲	3	0	3	3			00161	5	3			[3:verbal]ngaan4
眼	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽上聲	3	0	3	1			00162	6	1			[3]ngaan5
雁	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽去聲	3	0	3	1			00163	6	1			[3]ngaan6
鴈	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽去聲	3	0	3	2			00164	6	2			[3]ngaan6
贋	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽去聲	3	0	3	3			00165	6	3			[3]ngaan6
贗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngan	陽去聲	3	0	3	4			00166	6	4			[3]ngaan6
罌	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ang	陰平聲	3	0	3	1			00167	6	1			[3]aang1
甖	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ang	陰平聲	3	0	3	2			00168	6	2			[3]aang1
罃	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ang	陰平聲	3	0	3	3			00169	6	3			[3]aang1
硬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngang	陽去聲	3	0	3	1			00170	6	1			[3]ngaang6
坳	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰平聲	3	0	3	1			00171	6	1			[3:also]aau1
凹	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰平聲	3	0	3	2			00172	6	2			[3:also]aau1
𢲷	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰平聲	2	0					00173	6	1	語詞，「～痕」，抓癢。		[2]aau1
拗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰上聲	3	0	3	1			00174	6	1			[3]aau2
抝	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰上聲	3	0	3	2			00175	6	2			[3]aau2
坳	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	3	0	3	1			00176	6	1			[3]aau3
㘭	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	3	0	3	2			00177	6	2			[3]aau3
拗	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	3	0	3	3			00178	6	3			[3]aau3
靿	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	3	0	3	4			00180	6	4			[3]aau3
凹	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	3	0	3	5			00179	6	5			[3]aau3
𢲷	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	2	0					00181	6	1	很戾也。見《考正字彙》。		[2]aau3
詏	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ao	陰去聲	2	0					00182	6	2	語詞，辯論。據《集韻》言逆也，見白宛如《廣州話本字考》。按此詞俗多借拗字代用，如拗頸，北方作抬扛，喻爭辯。		[2]aau3
淆	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	1			00183	6	1			[3]ngaau4
肴	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	2			00184	6	2			[3]ngaau4
崤	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	3			00185	6	3			[3]ngaau4
絞	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	4			00186	6	4			[3]ngaau4
殽	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	5			00187	6	5			[3]ngaau4
餚	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	6			00188	6	6			[3]ngaau4
爻	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	7			00189	6	7			[3]ngaau4
熬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	3	0	3	8			00190	6	8			[3:verbal]ngaau4
烄	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	2	0					00191	6	9	語詞，久煮，見白宛如《廣州話本字考》。據《集韻》煎也，音樂(ngao)(低去聲)。		[2]ngaau4
𥁒	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽平聲	2	0					00192	6	10	語詞，器不平也，見《集韻》，本音靿，見詹菊人《廣州語本字》。此詞北方作翹棱（板物濕變乾而彎曲不平）。		[2]ngaau4
咬	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽上聲	3	0	3	1			00193	7	1			[3]ngaau5
齩	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽上聲	3	0	3	2			00194	7	2			[3]ngaau5
嚙	A(鴉)音起頭之字（帶ng(吾)音起頭之字在內）	ngao	陽上聲	3	0	3	3			00195	7	3			[3]ngaau5
