# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
82.1	丄			3		t	au	4	4	tau4	G23				
83.1	亡			3		m	ong	4	4	mong4	D75		滅亡		
83.2	亡			3		m	ou	4	4	mou4	D68		通無		
84.1	亢			3		k	ong	3	3	kong3	L43		高		
84.2	亢			3		g	ong	1	1	gong1	J88		脖子		
85.1	亦			3		j	ik	6	9	jik6	S68				
86.1	交			3		g	aau	1	1	gaau1	J8				
87.1	亥			3		h	oi	6	6	hoi6	O93				
88.1	亨			3		h	ang	1	1	hang1	O50				
88.2	亨			3		p	aang	1	1	paang1	C12			烹(本)	
89.1	京			3		g	ing	1	1	ging1	J70				
90.1	享			3		h	oeng	2	2	hoeng2	O111				
91.1	亯			3		h	ang	1	1	hang1	O50			古亨字	
91.2	亯			3		p	aang	1	1	paang1	C12			古亨字	
92.1	亭			3		t	ing	4	4	ting4	G53				
93.1	亮			3		l	oeng	6	6	loeng6	I96				
94.1	亳			3		b	ok	3	8	bok3	B70				
95.1	亶			3		t	aan	2	2	taan2	G10				
96.1	亹			3		m	ei	5	5	mei5	D46		亹亹		
96.2	亹			3		m	un	4	4	mun4	D84		峽兩岸對峙處		
97.1	人			3		j	an	4	4	jan4	S22				
98.1	亼			3		z	aap	6	9	zaap6	P23				
99.1	亾			3		m	ong	4	4	mong4	D75		滅亾	同亡	
100.1	仁			4		j	an	4	4	jan4	S22				
101.1	什			4		s	ap	6	9	sap6	R45		什一		
101.2	什			4		z	aap	6	9	zaap6	P23		什物		
102.1	仄			4		z	ak	1	7	zak1	P51				
103.1	仃			4		d	ing	1	1	ding1	F71				
104.1	仆			4		f	u	6	6	fu6	E43				
104.2	仆			4		p	uk	1	7	puk1	C79	V			
105.1	介			4		g	aai	3	3	gaai3	J7				
106.1	仌			4		b	ing	1	1	bing1	B53			冰(本)	
107.1	从			4		c	ung	4	4	cung4	Q119		隨从	從(本)	
107.2	从			4		s	ung	1	1	sung1	R130		从客	從(本)	
107.3	从			4		z	ung	1	1	zung1	P123		从橫	從(本)	
108.1	仉			4		z	oeng	2	2	zoeng2	P109				
109.1	仇			4		s	au	4	4	sau4	R31		仇敵		
109.2	仇			4		k	au	4	4	kau4	L11		姓		
110.1	仂			4		l	ak	6	9	lak6	I40				
111.1	仍			4		j	ing	4	4	jing4	S64				
112.1	今			4		g	am	1	1	gam1	J31				
113.1	仨			4		s	aam	1	1	saam1	R11				
114.1	仕			4		s	i	6	6	si6	R68				
115.1	仝			4		t	ung	4	4	tung4	G85				
116.1	仗			4		z	oeng	3	3	zoeng3	P110		打仗		
116.2	仗			4		z	oeng	6	6	zoeng6	P111		依仗		
117.1	付			4		f	u	6	6	fu6	E43				
118.1	代			4		d	oi	6	6	doi6	F85				
119.1	仙			4		s	in	1	1	sin1	R79				
120.1	仟			4		c	in	1	1	cin1	Q72				
121.1	仡			4		ng	at	6	9	ngat6	N56				
121.2	仡			4		g	o	1	1	go1	J79		仡佬族		
122.1	仛			4		t	ok	3	8	tok3	G72			同侂	
