頁	列	字碼	字
		2410	囗
			口
			叩
			扣
			釦
140	1		叵
			問
			哀
			如
			洳
			袽
			茹
			挐
			恕
			絮
	2		鴽
			和
			知
			智
			痴
			蜘
			踟
			回
141	1		徊
			洄
			蛔
			鮰
			廻
			茴
			石
			妬
	2		拓
			柘
			跖
			鼫
			岩
			宕
			菪
			砳
			磊
			碩
			启
142	1		啟
		2411	曰
			汩
			日
			汨
			衵
			馹
			間
			昌
	2		倡
			猖
			唱
			娼
			鯧
			菖
			閶
			晶
			冄
			枏
			耼
143	1		蚦
			髥
			[⿻囗一]
			衰
			蓑
			簑
			榱
			縗
			冃
			冐
			冒
	2		勖
			毷
			媢
			帽
			瑁
			艒
			賵
			⺼
			肩
			掮
			猒
			厭
144	1		懨
			壓
			擪
			檿
			厴
			饜
			靨
			魘
			黶
			𢿨
	2	24111	且
			咀
			狙
			沮
			菹
			阻
			姐
145	1		徂
			殂
			俎
			葅
			爼
			租
			祖
			組
			耝
			粗
			蛆
	2		趄
			詛
			鉏
			駔
			齟
			雎
			疽
			苴
			置
146	1		助
			勗
			筯
			耡
			宜
			誼
			虘
			摣
			樝
			謯
			齇
	2		皻
			覰
			目
			泪
			苜
			𥄕
			窅
			相
			想
147	1		湘
			緗
			廂
			箱
			霜
			孀
			驦
			県
			縣
			懸
			[⿱⿺𠃊目厶]
			䀠
			愳
	2		瞿
			懼
			臞
			癯
			衢
			氍
			戵
			鸜
			矍
			攫
			戄
			蠼
			籰
			躩
148	1		瞾
			見
			䙷
			俔
			峴
			晛
			現
			睍
			硯
			視
			蜆
	2		莧
			筧
			萈
			寬
			貝
			垻
			唄
			狽
			浿
			敗
			買
			則
149	1		廁
			側
			惻
			測
			鍘
			鰂
			賏
			嬰
			攖
			嚶
			櫻
			瓔
	2		纓
			癭
			鸚
			甖
			罌
			鵙
			贔
			屭
			狊
			郹
			鶪
			䠐
			闃
150	1		算
			篡
			篹
			纂
			籑
			鼎
			具
	2		俱
			惧
			埧
			椇
			颶
			叚
			假
			瑕
			暇
			嘏
			蝦
151	1		豭
			鍜
			鰕
			葭
			霞
			瘕
			遐
			騢
			里
			厘
			俚
			𢃇
	2		浬
			悝
			哩
			埋
			娌
			理
			裡
152	1		貍
			薶
			霾
			鯉
			裏
			㕓
			廛
			瀍
			纏
			躔
	2		果
			菓
			裹
			窠
			倮
			婐
			棵
			稞
			祼
			裸
			蜾
			輠
153	1		踝
			課
			錁
			餜
			髁
			夥
			顆
		24112	呆
			保
			堡
	2		煲
			葆
			褓
			緥
			槑
			咠
			葺
			揖
			楫
			緝
			輯
			戢
			濈
			檝
			蕺
			甲
154	1		匣
			狎
			押
			呷
			岬
			𢘉
			胛
			柙
			鉀
			鴨
			閘
			申
	2		伸
			坤
			呻
			柛
			珅
			神
			砷
			紳
			㬪
			曐
			禺
155	1		偶
			嵎
			隅
			喁
			耦
			藕
			蕅
			寓
			遇
			愚
	2		顒
			萬
			勱
			蠇
			癘
			邁
			蠆
			厲
			勵
156	1		礪
			蠣
			糲
			門
			們
			捫
			婁
			數
	2		擻
			藪
			僂
			摟
			塿
			嘍
			嶁
			樓
			縷
			褸
			螻
157	1		鏤
			髏
			蔞
			窶
			簍
			廔
			屢
			屨
			斲
			鬭
	2		𠕋
		24114	号
			号
			枵
			𧦢
			號
			饕
			鴞
			曳
			拽
			洩
158	1		栧
			𤤺
			絏
			𦐇
			搨
			塌
			榻
			褟
			蹋
			鎉
			鰨
			遢
			闒
			電
	2		𤰞
		2412	中
			仲
			冲
			沖
			忡
			种
			忠
159	1		盅
			翀
			鈡
			衷
		24121	𠀐
			貴
			匱
			櫃
			憒
			潰
			隤
			瞶
	2		聵
			繢
			穨
			靧
			饋
			蕢
			簣
			闠
			遺
			壝
			𠳋
			遣
			繾
			譴
160	1		虫
			虺
			虫
			独
			閩
			蝕
			蟲
			蠱
			足
			促
	2		捉
			浞
			齪
			冉
			苒
			髯
			柟
			聃
			蚺
			㫋
			田
			甸
			畋
			佃
161	1		𤝗
			鈿
			細
			苗
			庿
			猫
			描
			瞄
			貓
			錨
			雷
			蕾
	2		癗
			擂
			礌
			鐳
			畀
			痹
			睤
			畏
			偎
			喂
			猥
			隈
162	1		煨
			椳
			餵
			異
			禩
			廙
			翼
			畢
			蓽
			篳
	2		嗶
			蹕
			韠
			胃
			喟
			渭
			猬
			蝟
			謂
			膚
			畾
			儡
			攂
			礧
			櫑
163	1		藟
			靁
			壘
			罍
			纍
			虆
			疊
			男
			嬲
			㚻
			毗
			畟
	2		稷
			謖
			累
			瘰
			嫘
			漯
			磥
			螺
164	1		縲
			騾
			略
			撂
			田
			思
			崽
			葸
			偲
			腮
			緦
			諰
			颸
			鰓
	2		顋
			慮
			藘
			攄
			濾
			鑢
			田
			盧
			𠫂
			廬
			蘆
			壚
			瀘
			臚
165	1		櫨
			爐
			矑
			罏
			纑
			艫
			轤
			鑪
			驢
			鱸
			顱
			鸕
			虜
			由
	2		宙
			笛
			庙
			岫
			抽
			妯
			油
			柚
			蚰
166	1		舳
			紬
			袖
			軸
			釉
			鼬
			廸
			迪
			甹
			俜
	2		娉
			𥪁
			聘
			騁
			冑
			胄
		24122	曲
167	1		苗
			麯
			蛐
			豊
			澧
			禮
			醴
			體
			葨
			儂
	2		濃
			噥
			膿
			穠
			醲
			典
			捵
			㥏
			淟
			腆
168	1		碘
			覥
			扁
		24124	凸
			凹
			𤉡
			兕
			串
			患
			漶
			贃
			槵
			吊
	2		屌
			肙
			罥
			悁
			捐
			狷
			涓
			娟
			睊
			蜎
			絹
169	1		鵑
			員
			鄖
			塤
			損
			𤠔
			隕
			殞
			韻
	2		圓
			篔
			勛
			嗣
			雖
			强
			吅
			㕺
			萼
170	1		遌
			鄂
			顎
			鶚
			㗁
			腭
			愕
			諤
			鍔
			鰐
			齶
			嚴
			巖
	2		儼
			玁
			釅
			哭
			單
			鄲
			戰
			撣
			嘽
171	1		彈
			墠
			嬋
			憚
			殫
			禪
			襌
			蟬
	2		觶
			嚲
			鱓
			簞
			闡
			蘄
			嘼
			獸
			鼉
172	1		雚
			勸
			歡
			觀
			顴
			鸛
			飌
			懽
			灌
			獾
			瓘
			權
	2		罐
			䝔
			貛
			讙
			鑵
			驩
			𩪼
			咒
			喌
			斝
			遻
			襄
			勷
			瓤
173	1		嚷
			瀼
			壤
			孃
			攘
			禳
			穰
			釀
			讓
			鑲
	2		饟
			驤
			蘘
			曩
			品
			區
			傴
			嘔
			嫗
			摳
174	1		嶇
			漚
			彄
			樞
			謳
			軀
			饇
			驅
			歐
			毆
			敺
			甌
	2		鷗
			碞
			喦
			癌
			噪
			劋
			氉
			噪
			懆
			操
			澡
			藻
175	1		燥
			幧
			璪
			臊
			繰
			譟
			躁
			㗊
			噐
			嚚
			器
			囂
			𠱠
	2		霝
			酃
			櫺
			𧕅
			醽
			䡼
			𩆜
			靈
			麢
			黾
			同
			戙
			侗
			洞
176	1		峒
			恫
			胴
			桐
			銅
			峝
	2		茼
			筒
			痌
			衕
		24131	呈
			郢
			逞
			埕
			程
			裎
			酲
			鞓
177	1		聖
			檉
			蟶
		24132	侃
			諐
			呂
			侶
			梠
			鋁
			宮
	2		莒
			郘
			筥
			閭
			櫚
		24134	兄
			况
			況
			呪
			怳
178	1		柷
			祝
			貺
			詋
		24135	只
			枳
			咫
			軹
			史
	2		駛
			央
			泱
			怏
			坱
			殃
			映
			秧
			鞅
179	1		O
			鴦
			英
			暎
			瑛
			霙
			盎
			醠
		24141	吳
			娛
			悞
			蜈
	2		誤
			虞
			麌
			O
			耜
			官
			倌
			涫
			棺
			琯
			綰
			舘
180	1		館
			菅
			管
			逭
		24142	黽
			澠
			繩
			繩
			蠅
	2	24143	另
			叧
			別
			捌
			拐
			枴
		24145	邑
			浥
			挹
			悒
181	1		唈
			裛
			扈
			滬
		2415	啚
			鄙
			圖
		2420	山
			疝
			仙
			汕
	2		秈
			舢
			籼
			訕
			巾
			匝
			咂
			砸
			箍
			帘
			刷
			涮
		2422	皿
182	1		昷
			O
			罒
		2423	O
		24241	冋
			坰
			泂
			炯
			絅
			詗
			駉
			扃
	2		迥
		24242	出
			拙
			咄
			柮
			朏
			絀
			詘
			黜
			𦤙
			茁
			祟
			糶
183	1		屈
			崛
			窟
			倔
			掘
		24244	繭
		24341	四
			泗
			駟
		24342	冏
	2		𣎁
		2435	內
			吶
			汭
			枘
			肭
			蚋
			納
			衲
			訥
184	1		鈉
			芮
			蜹
			氝
			㕯
			水
			冰
			尿
		24351	囚
			泅
			𥁕
			氳
			瘟
	2		溫
			搵
			慍
			媼
			溫
			薀
			榲
			膃
			熅
			褞
			縕
			蘊
185	1		轀
			醞
			韞
			頮
		24352	沓
			踏
			錔
			淼
		24353	肉
	2		朒
			网
		2441	囙
			囘
		2442	冎
			咼
			剮
			喎
			旤
			堝
			媧
			猧
			渦
186	1		禍
			過
			撾
			檛
			鐹
			蝸
			鍋
			騧
			窩
			萵
		2445	禸
	2	24454	骨
			猾
			滑
			搰
			榾
			蓇
			鶻
187	1		幽
		2453	[⿵冂䒑]
			罔
			惘
			網
			蝄
			誷
			輞
			魍
			岡
			剛
			崗
	2		焵
			碙
			綱
			鋼
			黑
			嘿
			默
			墨
			嚜
			纆
188	1		纒
		2500	卜
			仆
			扑
			朴
			訃
			赴
		25313	光
	2		洸
			恍
			胱
			桄
			絖
			觥
			晃
			幌
			榥
189	1	2532	肖
			俏
			削
			哨
			捎
			䈰
			峭
			消
			梢
	2		稍
			硝
			矟
			蛸
			綃
			艄
			誚
			趙
			銷
			鞘
			韒
			魈
190	1		逍
			屑
			宵
			筲
			霄
			𧴪
			瑣
			鎖
			尚
	2		䣊
			敞
			厰
			廠
			氅
			倘
			徜
			淌
			惝
			趟
			躺
			敝
		2534	当
		2535	堂
191	1		瞠
			膛
			螳
			鏜
			鞺
			棠
			甞
			牚
			撐
			橕
			嘗
			嚐
	2		鱨
			常
			嫦
			當
			擋
			檔
			璫
192	1		襠
			蟷
			鐺
			簹
			賞
			償
			黨
			儻
			攩
			讜
			钂
	2		党
			鎲
			掌
			撑
			𣛟
			裳
			尝
			坣
		2545	攴
		2550	小
			孙
		2551	尖
193	1	2553	少
			妙
			抄
			莏
			杪
			炒
			秒
			吵
	2		紗
			耖
			鈔
			玅
			砂
			尠
			尟
			魦
			沙
			挱
			莎
194	1		桫
			痧
			娑
			桬
			裟
			鯊
			眇
			渺
			緲
		25531	隲
		25532	雀
	2		省
			𡭽
			隙
			虩
		25534	劣
195	1	3000	丿
		3112	什
			仵
			汻
			忤
			杵
			許
			滸
			迕
	2		牛
			件
			吽
			牢
			手
			丰
		31121	卸
196	1		啣
			御
			禦
			䥏
			玍
			生
			性
			姓
			狌
			牲
	2		甡
			甥
			旌
			笙
			甦
			甤
			蕤
			鼪
			眚
			星
			戥
197	1		猩
			惺
			腥
			醒
			砉
			剨
			騞
		31122	告
	2		浩
			梏
			晧
			皓
			澔
			艁
			誥
			酷
			郜
			鵠
			窖
198	1		靠
			造
			慥
			簉
			糙
			害
			割
			豁
			犗
			瞎
	2		轄
			鎋
			憲
			藼
			無
			憮
			撫
			嫵
			橅
			膴
			蕪
199	1		廡
			鄦
			甒
			舞
			儛
			垂
			郵
			捶
			陲
			埵
			唾
	2		棰
			睡
			錘
			箠
		31123	朱
			侏
			姝
			咮
			洙
			株
			珠
200	1		殊
			硃
			蛛
			誅
			跦
			銖
			邾
			茱
			鼄
			耒
			誄
			犇
	2	31124	缶
			寶
			鬱
			咸
			减
			減
			喊
			椷
			碱
			緘
201	1		諴
			醎
			鍼
			鹹
			觱
			箴
			鱵
			感
			憾
			撼
	2		轗
			制
			猘
			淛
			掣
			製
			㓞
			栔
			契
202	1		㓶
			偰
			喫
			楔
			碶
			禊
			鍥
			瘈
			齧
			囓
			挈
	2		絜
			潔
			恝
			瘛
		31131	拜
			湃
		31132	看
		31133	搿
203	1	31135	失
			佚
			抶
			帙
			泆
			妷
			昳
			迭
			瓞
			秩
			袟
			軼
	2		跌
			鉄
			袠
			矢
			疾
			嫉
			蒺
			族
			嗾
			鏃
			蔟
204	1		簇
			鷟
			䠶
			医
			殹
			𣘦
			瞖
			嫛
			翳
			蠮
			繄
			醫
	2		鷖
		3114	气
			汽
			毛
			尾
			娓
			牦
			眊
			竓
			粍
			旄
205	1		耗
			芼
			耄
			髦
			笔
		31143	毳
			撬
			橇
	2		戌
			威
			崴
			葳
			楲
		3115	烕
			滅
			搣
			年
		3120	千
206	1		仟
			扦
			阡
			竏
			粁
			芊
		3121	壬
			妊
			衽
			紝
			飪
			任
	2		荏
			姙
			絍
			袵
			凭
			恁
			賃
			鶴
			𡈼
			廷
			庭
207	1		莛
			筳
			霆
			挺
			梃
			脡
			艇
			蜓
			鋌
			鼮
		31211	乍
			作
	2		筰
			咋
			阼
			怍
			柞
			炸
			迮
			昨
			怎
			胙
208	1		痄
			窄
			搾
			榨
			祚
			蚱
			舴
			酢
			詐
			鮓
			齚
			戚
			槭
	2		慼
			蹙
			顣
		31212	告
			制
		31213	先
			筅
			侁
			冼
			洗
			箲
209	1		跣
			銑
			毨
			詵
			駪
			贊
			酇
			囋
			攢
			臢
			纘
	2		讚
			鑽
			瓚
			趲
		31214	丟
		3122	乖
			乘
210	1		剩
			嵊
		31224	舌
			恬
			湉
			銛
			餂
			𠮮
			刮
			佸
	2		括
			葀
			活
			闊
			适
			栝
			聒
			蛞
			話
			颳
			鴰
			筈
211	1	31231	竹
		31232	臿
		31234	我
			俄
			娥
			哦
			峨
			蛾
	2		餓
			鵝
			鵞
			峩
			莪
		31235	𥝌
			禾
			酥
			穌
			蘇
212	1		囌
			麇
			囷
			菌
			麕
			稛
			利
			俐
			猁
			莉
			梨
	2		犁
			痢
			鬁
			梸
			秊
			秌
			香
			馥
			黍
			禿
			頹
213	1		穨
			秀
			莠
			透
			綉
			誘
			銹
			委
	2		倭
			痿
			萎
			逶
			矮
			諉
			餧
			緌
			㞜
			魏
214	1		巍
			季
			悸
			鯚
			厤
			曆
			𠪾
			歷
			嚦
			瀝
			癧
	2		櫪
			靂
			藶
			磿
		31241	重
			湩
			腫
			歱
			種
			踵
			鍾
215	1		畽
			動
			働
			慟
			董
			懂
			衝
			塩
			𬀷
			傷
			塲
	2		殤
			膓
			觴
			蕆
			复
			愎
			復
			履
			覆
			腹
			蝮
216	1		複
			輹
			鍑
			馥
			鰒
		31242	飾
		31245	熏
			勳
			壎
			曛
			燻
			纁
			薰
			獯
			醺
	2	3130	刋
		3132	升
			昇
			竔
217	1		陞
		3134	栴
		3135	夭
			沃
			𦰚
			鋈
			妖
			殀
			袄
			飫
			笑
			宎
	2		攵
			孜
			枚
			牧
			玫
			䖍
			𢼄
			啓
			棨
			綮
			肇
218	1		攸
			修
			脩
			滫
			悠
			條
			滌
			蓧
			篠
			縧
			鰷
	2		倏
			倐
			翛
			筱
			鯈
			絛
			儵
			偹
		31352	乔
			蚕
			喬
			僑
			嶠
219	1		嬌
			撟
			橋
			矯
			蹻
			轎
			驕
			蕎
			屩
		3140	乇
			吒
			托
	2		奼
			託
			飥
			宅
			侘
			垞
			姹
			咤
			詫
			侂
			乞
			仡
			汔
220	1		屹
			吃
			肐
			矻
			紇
			訖
			齕
			疙
			迄
		3141	秉
	2	31421	琁
			旋
		31424	㐌
			拖
			迤
			炧
			䝯
			駞
		3143	飭
		31435	戊
			茂
221	1	31441	每
			侮
			悔
			海
			晦
			梅
			畮
			誨
			緐
			痗
	2		莓
			霉
			毓
			敏
			繁
			蘩
			鰵
		31443	成
			郕
			晟
			盛
222	1		城
			誠
		3154	戍
			篾
			蔑
			衊
			蠛
			襪
			韈
			韤
		3211	[印左邊]
			印
	2		虐
			瘧
			謔
			褏
			褎
			襃
		32111	段
			煅
			緞
			鍛
			毈
223	1		輿
			與
			嶼
			璵
			鱮
			歟
			旟
			舉
			櫸
			擧
	2		礜
			譽
			轝
		32112	興
			釁
			爨
			舋
			盥
		32113	學
			斆
			壆
224	1		礐
			嚳
			覺
			攪
			鱟
			黌
			鷽
		32114	𦥑
			𦥔
			臾
	2		㥚
			腴
			諛
			庾
			萸
			瘐
			惥
			舁
			裒
			叟
			溲
			嫂
			搜
			獀
225	1		螋
			謏
			餿
			瞍
			艘
			鎪
			廋
			瘦
			颼
		3212	丘
			邱
			坵
			蚯
			駈
			乒
			乓
	2		兵
			浜
			梹
			鬂
			宾
			岳
		3214	片
			㭊
		32141	𣶒
			淵
			婣
		32144	延
226	1		埏
			涎
			梴
			誕
			蜒
			蜑
			筵
		3220	川
	2		圳
			紃
			訓
			釧
			馴
			順
		3233	眾
			潀
		32411	白
227	1		伯
			泊
			箔
			帕
			怕
			拍
			柏
	2		珀
			粕
			舶
			鉑
			迫
			魄
			皋
			嗥
			槔
			獆
228	1		暤
			皞
			翱
			皐
			皁
			皂
			皀
			旣
			/
			既
			慨
			漑
			/
			溉
			嘅
			槪
			/
			概
	2		槩
			曁
			厩
			廐
			卽
			喞
			蝍
			鯽
			節
			[⿸疒卽]
229	1		櫛
			皃
			貌
			藐
			邈
			碧
			皇
			凰
			隍
			惶
			徨
	2		喤
			湟
			煌
			蝗
			鍠
			鰉
			遑
			篁
			㣎
			穆
			帛
230	1		棉
			綿
			錦
			緜
			泉
			腺
			線
			敫
			儌
			噭
	2		激
			徼
			檄
			皦
			繳
			竅
			覈
			邀
			兜
231	1		篼
			樂
			濼
			櫟
			爍
			皪
			礫
			轢
			躒
			鑠
	2		藥
			原
			嫄
			源
			螈
			愿
			願
			習
			嶍
232	1		摺
			慴
			熠
			褶
			翫
			自
			咱
			洎
			臭
	2		溴
			嗅
			糗
			𨶑
			齅
			息
			媳
			熄
			螅
			憩
			鼻
			劓
			濞
233	1		擤
			臬
			臲
			鎳
			闑
			辠
			臱
			邊
			籩
			癟
			㿜
			身
			烏
	2		鄔
			隖
			摀
			塢
			嗚
			鎢
			島
			搗
			梟
			裊
			𢶑
			嬝
234	1		鳥
			鳴
			㠀
			鳧
			鴈
			贗
			蔦
			窵
			鳸
			鶻
			鵻
			卑
			俾
	2		啤
			陴
			埤
			捭
			牌
			脾
			睥
			碑
			稗
			裨
235	1		粺
			鞞
			髀
			郫
			庳
			萆
			鼙
		32412	鬼
			傀
			塊
	2		愧
			媿
			嵬
			瑰
			隗
			槐
			醜
			餽
			嵬
			蒐
			魁
236	1		魋
			禹
			偊
			瑀
			踽
			齲
			属
		32414	𠂤
			阜
			埠
			追
			搥
			槌
	2		縋
			鎚
			帥
			師
			獅
			螄
			篩
			歸
			巋
			薛
		32422	血
237	1		卹
			衄
			衂
			[⿰血瓜]
			侐
			恤
			洫
			賉
			衆
			睪
		32423	𠂔
	2		柹
			泲
			姊
			胏
			秭
			笫
			䪡
		32424	向
			响
			珦
			晌
			餉
			逈
238	1	32433	囪
			窗
			悤
			蔥
			牕
			摠
			璁
			聰
			總
	2		驄
		32435	囟
			硇
			顖
			𣬉
			媲
			膍
			鎞
			貔
			蓖
			篦
239	1		傻
			奧
			隩
			懊
			噢
			澳
			燠
			襖
			粵
	2	3245	臼
			桕
			舅
			䳎
			毀
			燬
			隉
			湼
			舄
240	1		冩
			寫
			瀉
			潟
			兒
			倪
			堄
			猊
			睨
			蜺
			輗
			鯢
	2		齯
			鶃
			霓
			鬩
			麑
			鼠
			竄
			攛
			躥
		3251	隹
			准
241	1		淮
			匯
			滙
			唯
			惟
			罹
			帷
			椎
			碓
			睢
			稚
	2		雅
			雉
			薙
			蜼
			誰
			錐
			堆
			推
			蓷
			鵻
			騅
			維
242	1		濰
			羅
			蘿
			籮
			邏
			囉
			欏
			鑼
			萑
	2		崔
			催
			摧
			璀
			睢
			雇
			僱
			顧
			虧
			霍
			藿
			臛
			閵
243	1		藺
			躪
			雁
			珼
			䧹
			譍
			膺
			應
			鷹
			翟
	2		濯
			擢
			櫂
			曜
			燿
			耀
			躍
			趯
			糴
			糶
			戳
			雋
244	1		寯
			儁
			擕
			(
			携
			)
			檇
			鐫
			焦
			蕉
			僬
			憔
			噍
			樵
			瞧
	2		礁
			鐎
			譙
			醮
			蘸
			顦
			鷦
			進
			暹
			雔
			雙
			艭
245	1		犨
			讐
			讎
			犫
			舊
			匶
			隼
			準
			榫
			隻
			蒦
			劐
	2		擭
			嚄
			獲
			雘
			穫
			矱
			蠖
			護
			鑊
			集
246	1		[⿰礻集]
			雧
			售
		3300	𠂆
		3312	斤
			匠
			圻
			听
			沂
			忻
			昕
			斫
			祈
	2		訢
			靳
			齗
			芹
			近
			旂
			頎
			折
			浙
247	1		哳
			逝
			哲
			蜇
			踅
			誓
			析
			淅
			晰
			蜥
			晳
			皙
	2		蜤
			斬
			嶄
			慚
			漸
			聻
			魙
			塹
			暫
			慙
			槧
			蹔
248	1		鏨
		33122	盾
			揗
			循
			腯
			楯
			輴
			遁
			貭
		33123	欣
			掀
	2		焮
			質
			櫍
			礩
			躓
			鑕
		33124	后
			垢
			姤
			詬
			郈
			逅
249	1	33125	斥
			坼
			拆
			泝
			柝
			訴
			跅
		33144	卮
			栀
		33145	巵
	2	3320	彳
		3321	虒
			嗁
			遞
			褫
			蹏
			篪
		3325	爪
			抓
			笊
250	1	3330	彡
			杉
			衫
			肜
		3331	須
			嬃
			鬚
		3332	辵
		3334	𠂢
	2		派
			脈
			霢
			眽
			衇
			覛
		3341	戶
		33411	㐆
			殷
251	1		慇
			甪
		33413	所
	1	33414	[⿰戶己]
		33415	舟
			貈
			輈
			般
	2		搬
			瘢
			槃
			磐
			盤
			鞶
		3345	反
		3354	瓜
			泒
			呱
252	1		弧
			狐
			孤
			菰
			觚
			罛
			苽
			窊
			搲
			蓏
			窳
	2		瓞
		3400	九
			尻
			宄
			旯
			旮
			艽
			究
			染
			仇
253	1		軌
			匭
			旭
			鳩
			虓
			勹
			𠘧
			几
			仉
			凥
			机
			肌
			飢
	2		髠
			麂
			儿
			冗
			宂
			虎
			琥
			彪
			唬
			箎
254	1	3411	勻
			均
			筠
			鋆
			昀
			畇
			鈞
			韵
			月
			刖
			明
	2		萌
			盟
			曌
			霸
			壩
			灞
			檽
			覇
		34112	用
255	1		佣
			甩
			閒
			僩
			嫺
			㵎
			憪
			瞯
			襉
	2		鐗
			覵
			癇
			蕑
			簡
			鬝
			𤰇
			備
			憊
			鞴
			韛
			糒
			周
256	1		凋
			倜
			啁
			惆
			週
			碉
			稠
			綢
			蜩
			裯
			調
	2		賙
			鯛
			彫
			雕
			鵰
		34114	凨
		3412	卆
		34123	朵
257	1		剁
			垛
			跺
			躲
			𥬲
		34124	凬
			佩
			珮
			匍
			匐
		34132	鳳
	2	34133	矦
			詹
			儋
			幨
			憺
			擔
			澹
			檐
			膽
258	1		瞻
			舚
			襜
			蟾
			譫
			贍
			薝
			簷
		34134	夙
			危
			姽
	2		垝
			脆
			桅
			卼
			詭
			跪
			臲
			鮠
		3414	氏
			帋
			芪
			扺
259	1		眂
			秖
			祇
			紙
			舐
		34141	氐
			邸
			低
			抵
	2		坻
			弤
			胝
			牴
			柢
			祗
			砥
			秪
			羝
			蚳
			觝
			詆
			鴟
260	1		厎
			底
			疷
		34142	𠯑
			昏
			婚
			惛
			閽
			殙
	2	3423	𠂔
			尔
			你
			您
			迩
			弥
			寶
		3424	屯
			囤
			沌
			肫
			盹
261	1		純
			蒓
			鈍
			飩
			魨
			邨
			頓
			噸
			迍
	2		窀
			旾
			萅
		34241	句
			劬
			敂
			够
			雊
			鴝
			拘
			狗
			岣
			姁
262	1		泃
			朐
			昫
			煦
			枸
			耇
			痀
			夠
			笱
			訽
			鉤
			蒟
	2		駒
			齣
			齁
			苟
			茍
			敬
			儆
			擎
			檠
			警
263	1		驚
			旬
			郇
			恂
			惸
			洵
			峋
			徇
			狥
			殉
	2		眴
			詢
			絢
			荀
			筍
			甸
			蜀
			噣
			獨
			濁
			斶
			燭
			蠋
264	1		躅
			觸
			鐲
			髑
			歜
			叴
			負
			媍
			賴
			㕣
	2		沿
			船
			鉛
			免
			勉
			俛
			凂
			浼
			絻
			挽
			娩
			晚
			輓
265	1		鞔
			冕
			兔
			堍
			冤
			寃
			菟
			逸
			毚
	2		劖
			儳
			巉
			攙
			欃
			纔
			讒
			鑱
			饞
			魚
			漁
			䱷
			薊
266	1		鱻
			𢖍
			魯
			嚕
			櫓
			艪
			衡
			蘅
			龜
	2		鬮
			亀
			𪚰
		34243	奐
			換
			喚
			渙
			煥
			瘓
			𢿌
			/
			敻
			瓊
			觼
			潁
267	1		象
			像
			橡
			皮
			彼
			披
			坡
			陂
	2		狓
			帔
			波
			婆
			菠
			玻
			破
			被
268	1		詖
			跛
			鈹
			骳
			簸
			頗
			疲
			髲
			皰
		3425	尔
			迩
	2		称
			乐
		3430	[⿹勹丿]
			𥝢
			菞
			犂
			棃
			蔾
			黧
			黎
			藜
269	1		瓈
		3431	匋
			啕
			掏
			淘
			陶
			綯
			萄
		3432	臽
	2		掐
			陷
			啗
			焰
			餡
			諂
			燄
			欿
			窞
			萏
			閻
			爓
270	1		讇
			風
			嵐
			瘋
			楓
			颯
			諷
			颿
			飌
	2		飍
			凰
		2433	勿
			刎
			囫
			吻
			沕
			物
			歾
			笏
			易
			剔
			惕
271	1		埸
			逷
			舓
			裼
			蜴
			踢
			賜
			儩
			錫
			鬄
		34332	卿
			脗
		34335	忽
	2		唿
			惚
			淴
			匆
			怱
			揔
			葱
			緫
			聦
			䖏
		3434	卿
			角
			捔
272	1		觕
			桷
			埆
			确
			冊
			刪
			姍
			柵
			珊
			跚
			𤰈
			僃
			𥼓
	2	34342	卯
			泖
			柳
			聊
			茆
			昴
			冗
			冤
		3435	欠
			坎
273	1		吹
			杴
			炊
			砍
			欽
			嵌
			飲
			芡
			軟
			次
	2		茨
			佽
			栨
			姿
			咨
			趦
			諮
			恣
			瓷
			粢
			𦈱
			資
274	1		餈
			趑
			㳄
			盜
			𧘇
			旅
			[⿱旅力]
			膂
		34354	卵
			孵
			毈
			匃
			曷
	2		偈
			喝
			渴
			揭
			愒
			暍
			楬
			遏
			竭
			碣
			朅
275	1		羯
			蝎
			褐
			謁
			藹
			靄
			餲
			鞨
			歇
			蠍
			鶡
			葛
	2		臈
			轕
			匈
			恟
			洶
			胸
			詾
			胷
			𥒚
276	1	34411	急
			煞
			争
		34414	包
			刨
			泡
			抱
	2		咆
			枹
			炮
			皰
			胞
			砲
			袍
			匏
			跑
277	1		鉋
			鞄
			飽
			鮑
			庖
			苞
			雹
			麅
			炰
			袌
	2	3442	卬
			仰
			抑
			昂
			迎
		34423	芻
			蒭
			搊
			煼
278	1		縐
			趨
			謅
			騶
			鄒
			皺
			雛
		3445	勾
			鈎
			𠬛
	2		沒
			歿
			殳
			役
			投
			股
			羖
			芟
			疫
			設
279	1		骰
			般
			厹
			凤
			及
		34451	色
			色
			赩
		34452	系
	2		係
			孫
			猻
			蓀
			遜
			[⿰糸系]
			鯀
			胤
		3450	勺
			芍
			汋
280	1		妁
			灼
			杓
			的
			礿
			趵
			約
			喲
	2		葯
			酌
			豹
			釣
			靮
			凡
			汎
			帆
			芃
			梵
			丸
281	1		芄
			汍
			紈
			骫
			执
			夕
			汐
			矽
			穸
			飧
			岁
			梦
			罗
			久
			玖
			疚
	2		柩
			灸
			夂
			夊
		3451	丹
			旃
			坍
			彤
		34511	夆
			峯
			烽
282	1		埄
			蜂
			鋒
			逢
			蓬
			篷
			縫
			鏠
			㷭
			蠭
	2		訇
			鞫
		34512	条
		34513	隆
			癃
			窿
			麁
		34514	夅
			降
			洚
283	1		絳
			逄
			舛
			荈
			桀
			傑
			榤
			磔
			匄
			彖
			𧰲
			彔
		34524	各
			咯
	2		洛
			落
			恪
			胳
			珞
			烙
			格
			略
284	1		絡
			輅
			賂
			酪
			貉
			骼
			駱
			頟
