頁	列	字碼	字
32	1		蟛
			甏
			喜
			僖
			嬉
			嘻
			禧
			蟢
			譆
			饎
			囏
			熹
			憙
			鼔
			鼓
	2		瞽
			鼕
			鼙
			皷
			嘉
			袁
			園
			遠
			猿
			轅
			薳
			臺
			擡
			檯
			薹
			汞
			銾
			貢
			槓
			哉
			鐵
			胾
			懴
	2		戴
			襶
			賣
			𧶠
			匵
			凟
			瀆
			牘
			櫝
			犢
			殰
			續
			贖
			讀
			黷
34	1		竇
			覿
			讟
			竈
		12131	考
			拷
			烤
			栲
			銬
			耊
			老
	2		姥
			栳
			佬
			耄
			耈
			耋
			耆
		12132	赤
			郝
			赦
			螫
			赧
			赫
35	1		嚇
			截
			蠘
			䥫
		12133	𦒷
			耇
		12134	孝
			哮
			酵
			教
	2		巩
			㧬
			恐
			蛩
			筑
			築
			跫
			鞏
			銎
			聓
			坴
36	1		陸
			睦
			逵
			埶
			勢
			蓺
			熱
			爇
			褻
			藝
	2		囈
			襼
			夌
			菱
			凌
			淩
			蔆
			陵
			崚
			棱
37	1		稜
			薐
			綾
			輘
			鯪
		12135	定
			淀
			椗
			碇
			綻
			䘺
			錠
			靛
	2		是
			湜
			堤
			隄
			提
			禔
			𦧧
			緹
			踶
			諟
38	1		醍
			寔
			匙
			題
			韙
			者
			都
			覩
			奢
			撦
			著
	2		躇
			暑
			署
			薯
			曙
			箸
39	1		闍
			屠
			瘏
			堵
			陼
			渚
			猪
			楮
			睹
			緒
			褚
			赭
			賭
			豬
	2		瀦
			櫫
			諸
			儲
			藷
			煮
			翥
		1214	丐
			鈣
		12141	壽
			儔
40	1		壔
			濤
			擣
			幬
			檮
			禱
			疇
			躊
			醻
			譸
			鑄
			燾
			籌
	2		翿
		12142	亞
			婭
			啞
			掗
			椏
			堊
			惡
			噁
			氬
41	1		鵶
			瘂
			𤺘
			凷
			屆
			畱
		12143	𢦏
		12144	毐
		12145	去
			却
			脚
			劫
	2		刧
			刦
			佉
			法
			琺
			怯
			呿
			胠
			珐
			砝
			祛
42	1		袪
			盍
			嗑
			溘
			榼
			蓋
			磕
			饁
			瞌
			闔
			声
			殸
			磬
	2		聲
			罄
			謦
			馨
		12151	裁
			敖
			厫
			廒
			傲
43	1		滶
			嗷
			璈
			嗸
			熬
			遨
			聱
			贅
			謷
			鏊
			驚
			鰲
			鼇
	2		獒
		12153	烖
			幸
			婞
			倖
			悻
			幸
			圉
			執
			墊
44	1		摯
			縶
			蟄
			贄
			鷙
			報
			睪
			凙
			澤
			嶧
			懌
			擇
	2		蘀
			籜
			繹
			譯
			釋
			鐸
			驛
			𢋇
			斁
			盩
			𦍒
			達
45	1		撻
			韃
			薘
			闥
			躂
		12154	志
			痣
			誌
			壹
