# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
62	6	4	些	1/1		桑嗟	桑	嗟		s	e	1	1	se1		少也		
63	6	4	亞	1/1		戇駕	戇	駕			aa	3	3	aa3		次也		
64	6	4	亟	1/1		岡昔	岡	昔		g	ik	1	7	gik1		急也，頻也		
65	6	4	亡	1/1		蚊狂	蚊	狂		m	ong	4	4	mong4		失也，滅也，死也		
66	6	4	亢	1/2		慷降	慷	降	E	k	ong	3	3	kong3		無所卑屈也。～陽，～旱，太過也		
66	6	4	亢	2/2	C	勤降	勤	降		k	ong	3	3	kong3				
67	6	4	交	1/1		岡包	岡	包		g	aau	1	1	gaau1		～際，彼此相合也。～代，～卸，相替也		
68	6	4	亥	1/1		康在	康	在		h	oi	6	6	hoi6		夜九点至十一点為～時。本上上聲		
69	6	4	亦	1/1		也極	也	極		j	ik	6	9	jik6		～然，～佳，～通。對前詞而言之也		
70	6	4	亨	1/1		康更	康	更		h	ang	1	1	hang1		通也		
71	6	4	享	1/1		康想	康	想		h	oeng	2	2	hoeng2		獻也，宴客也，消受也		
72	6	4	京	1/2		岡青	岡	青	E	g	eng	1	1	geng1		～師，～城。大也		
72	6	4	京	2/2	C	岡猩	岡	猩		g	ing	1	1	ging1				
73	6	4	亭	1/1		湯瓊	湯	瓊		t	ing	4	4	ting4		休息之所。～午，向午也。～～，聳立也		
74	6	4	亮	1/1		郎象	郎	象		l	oeng	6	6	loeng6		明也		
75	6	4	亳	1/1		奔莫	奔	莫		b	ok	6	9	bok6		地名		
76	6	4	人	1/1		也勤	也	勤		j	an	4	4	jan4		動物之最靈者。他～，眾～，對己而言		
77	6	4	仁	1/1		也勤	也	勤		j	an	4	4	jan4		愛也，果核中之實也		
78	6	4	什	1/2		爽合	爽	合		s	ap	6	9	sap6		～物。正音借作慎，～麼		
78	6	4	什	2/2	A					s	an	6	6	san6	also			
79	6	4	仄	1/1		莊塞	莊	塞		z	ak	1	7	zak1		通側。又平～，字聲也		
80	6	4	仆	1/1		方護	方	護		f	u	6	6	fu6		跌於地也		
81	6	4	仆	1/1		旁谷	旁	谷		p	uk	1	7	puk1		同上		
82	7	1	仉	1/1		莊想	莊	想		z	oeng	2	2	zoeng2		孟子之母姓		
83	7	1	今	1/1		岡心	岡	心		g	am	1	1	gam1		時～，至～，而～		
84	7	1	介	1/1		岡怪	岡	怪		g	aai	3	3	gaai3		媒～，～紹，堅～，～冑。～蟲，有壳		
85	7	1	仇	1/1		創求	創	求		c	au	4	4	cau4		對也		
86	7	1	仍	1/1		也瓊	也	瓊		j	ing	4	4	jing4		因也。～舊，～然		
87	7	1	仔	1/2		臧詩	臧	詩		z	i	1	1	zi1		任也。～肩，又讀上上聲		
87	7	1	仔	2/2	A					z	i	2	2	zi2	also			
88	7	1	仔	1/1		臧啟	臧	啟		z	ai	2	2	zai2		幼小之男女也		
89	7	1	仕	1/1		桑自	桑	自		s	i	6	6	si6		出～		
90	7	1	他	1/1		湯加	湯	加		t	aa	1	1	taa1		彼也		
91	7	1	仗	1/1		莊亮	莊	亮		z	oeng	6	6	zoeng6		依～，倚～，憑倚也。開～，打～，交戰也		
92	7	1	付	1/1		方護	方	護		f	u	6	6	fu6		畀也，授也，與也		
93	7	1	仙	1/1		桑堅	桑	堅		s	in	1	1	sin1		非凡庸也。～遊，～去，死也。同僊		
94	7	1	仝	1/1		湯窮	湯	窮		t	ung	4	4	tung4		通同		
95	7	1	仞	1/1		也近	也	近		j	an	6	6	jan6		度深也		
96	7	1	仟	1/1		創堅	創	堅		c	in	1	1	cin1		同千		
97	7	1	代	1/1		當在	當	在		d	oi	6	6	doi6		世～，又替換也		
98	7	1	令	1/1		郎競	郎	競		l	ing	6	6	ling6		時～，去～，～兄，～弟		
99	7	1	令	1/1		郎瓊	郎	瓊		l	ing	4	4	ling4		使～		
100	7	1	以	1/1		也市	也	市		j	i	5	5	ji5		用也，為也，因也		
101	7	1	仰	1/1		也蔃	也	蔃		j	oeng	5	5	joeng5		向上也，敬慕之也		
102	7	1	仲	1/1		莊共	莊	共		z	ung	6	6	zung6		中也。～春，～子，～裁		
103	7	1	仵	1/1		吳下上			N		ng	5	5	ng5		～作，執死人者也		
104	7	1	件	1/1		岡賤	岡	賤		g	in	6	6	gin6		分也。物～		
105	7	2	价	1/1		岡怪	岡	怪		g	aai	3	3	gaai3		使喚之人也。貴～，又通介		
106	7	2	任	1/1		也禽	也	禽		j	am	4	4	jam4		堪也，當也，擔負也		
107	7	2	任	1/1		也扲	也	扲		j	am	6	6	jam6		用也。又～意、～便：聽其所為也		
108	7	2	份	1/1		方近	方	近		f	an	6	6	fan6		古讀平聲，同彬。今作份子、幾份用		
109	7	2	仿	1/1		分講	分	講		f	ong	2	2	fong2		傚也。～造，～古		
110	7	2	企	1/1		慷美	慷	美		k	ei	5	5	kei5		舉踵而望也，立也		
111	7	2	伉	1/1		勤降	勤	降		k	ong	3	3	kong3		～儷，夫婦也。又略同抗		
112	7	2	伊	1/1		也詩	也	詩		j	i	1	1	ji1		彼也		
113	7	2	伍	1/1		吳下上			N		ng	5	5	ng5		同五。又與眾雜處也		
114	7	2	伎	1/1		岡味	岡	味		g	ei	6	6	gei6		才也。～能、～巧、伎倆		
115	7	2	伏	1/1		方局	方	局		f	uk	6	9	fuk6		匿藏也，面向下也。～法、～誅：受刑也		
116	7	2	伐	1/1		方掘	方	掘		f	at	6	9	fat6		征～也，功也，自誇也		
117	7	2	休	1/1		也鳩	也	鳩		j	au	1	1	jau1		息也，善美也，致仕也。～～：有容也		
