# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
904	16	2	奇	1/1		慷肥	慷	肥		k	ei	4	4	kei4		異也，常人所不能也：～怪，～技		
905	16	2	奇	1/1		岡非	岡	非		g	ei	1	1	gei1		單數也，零數也：有～。又數～：運滯也		
906	16	2	奈	1/1		囊在	囊	在		n	oi	6	6	noi6		無～：猶言無法也。～何：如何也		
907	16	2	奉	1/1		方共	方	共		f	ung	6	6	fung6		承也，與也，送也，獻也，侍奉也，戴也		
908	16	2	奏	1/1		臧救	臧	救		z	au	3	3	zau3		～進也，～樂也		
909	16	2	奐	1/1		汪悶	汪	悶		w	un	6	6	wun6		暇豫也，文采鮮明也，盛也		
910	16	2	奎	1/1		方杯	方	杯		f	ui	1	1	fui1		星宿名		
911	16	2	契	1/1		慷計	慷	計		k	ai	3	3	kai3		～據也：田～，屋～。～合也：老～		
912	16	2	契	1/1		慷結	慷	結		k	it	3	8	kit3		～丹：國名		
913	16	2	契	1/1		桑結	桑	結		s	it	3	8	sit3		～濶：疏遠也。稷～：古人名		約解「疏」本從⻊
914	16	2	奔	1/1		邦根	邦	根		b	an	1	1	ban1		走也，趨事恐後也，戰敗而逃也		
915	16	2	奕	1/1		也極	也	極		j	ik	6	9	jik6		大也。～葉：累世也		
916	16	2	套	1/1		湯告	湯	告		t	ou	3	3	tou3		成～，封～，圈～。又地之曲處為～		
917	16	2	奚	1/1		康齊	康	齊		h	ai	4	4	hai4		何也。小～，～奴：僕役也		
918	16	2	奠	1/1		當件	當	件		d	in	6	6	din6		定也，置也，喪祭也		
919	16	2	奢	1/1		創些	創	些		c	e	1	1	ce1		不節也，侈也，過也：～華		
920	16	2	奧	1/1		戇告	戇	告			ou	3	3	ou3		深～：不易明也。又歐洲國名奧援		
921	16	2	奪	1/1		當絕	當	絕		d	yut	6	9	dyut6		強取也。裁～，定～：定其去取也		
922	16	2	獎	1/1		臧想	臧	想		z	oeng	2	2	zoeng2		勸勉也，助也，褒美也：～賞，～品		
923	16	3	奩	1/1		郎鉗	郎	鉗		l	im	4	4	lim4		鏡匣也。妝～，嫁女之具也		
924	16	3	奮	1/2		方艮	方	艮	E2	f	an	3	3	fan3		用力也，震動也。～勇		
924	16	3	奮	2/2	C	方敏	方	敏		f	an	5	5	fan5				
925	16	3	女	1/1		囊拒	囊	拒		n	eoi	5	5	neoi5		男～，婦～，～兄，～弟，～界		
926	16	3	奴	1/1		囊曹	囊	曹		n	ou	4	4	nou4		～婢也，女子自卑之稱也。～隸，～僕		
927	16	3	奶	1/2		囊街	囊	街		n	aai	1	1	naai1		婦人之通稱也。～媽，乳母也。又讀乃		
927	16	3	奶	2/2	A					n	aai	5	5	naai5	also			
928	16	3	奸	1/1		岡關	岡	關		g	aan	1	1	gaan1		犯也，私也，偽也。～賊，～宄，～淫，～商		
929	16	3	好	1/1		康稿	康	稿		h	ou	2	2	hou2		美也，善也，相～也，良～		
930	16	3	好	1/1		康告	康	告		h	ou	3	3	hou3		心之所愛也。喜～		
931	16	3	妁	1/2		莊脚	莊	腳	E5	z	oek	3	8	zoek3		媒人也		
931	16	3	妁	2/2	C	創脚	創	腳		c	oek	3	8	coek3				
932	16	3	如	1/1		也殊	也	殊		j	yu	4	4	jyu4		若也，同也，往也。又形容假想之詞也		
933	16	3	妃	1/1		方基	方	基		f	ei	1	1	fei1		匹也，猶言匹配也。又天子之妻妾也		
934	16	3	妄	1/2		亡浪	亡	浪	E	m	ong	6	6	mong6		虛～也，～言，～聽		
934	16	3	妄	2/2	C	蚊浪	蚊	浪		m	ong	6	6	mong6				
935	16	3	妒	1/2		當做	當	做	E	d	ou	6	6	dou6		～忌，忌人之善也		
935	16	3	妒	2/2	C	當造	當	造		d	ou	6	6	dou6				
936	16	3	妓	1/1		岡味	岡	味		g	ei	6	6	gei6		～女，娼婦也		
937	16	3	妖	1/2		也繳	也	繳		j	iu	2	2	jiu2		～冶，艷媚也。～怪，～孽，異也。本上平		
937	16	3	妖	2/2	A					j	iu	1	1	jiu1	original			
938	16	3	妊	1/2		也扲	也	扲		j	am	6	6	jam6		懷孕也，同姙。本下平		
938	16	3	妊	2/2	A					j	am	4	4	jam4	original			
939	16	3	妙	1/1		亡料	亡	料		m	iu	6	6	miu6		精巧也，少年也，美好也		
940	16	3	妗	1/2		慷凛	慷	凜		k	am	5	5	kam5		俗稱舅母為～母。本上去聲		
940	16	3	妗	2/2	A					k	am	3	3	kam3	original			
941	16	3	妝	1/1		渣岡	渣	岡		z	ong	1	1	zong1		～飾也。同粧		
942	16	3	妣	1/1		邦匪	邦	匪		b	ei	2	2	bei2		母死為～。～，比也，與父平等也		
943	16	3	妥	1/1		湯我	湯	我		t	o	5	5	to5		～當，～帖，安也		
944	16	3	妨	1/1		分狂	分	狂		f	ong	4	4	fong4		碍也，害也。不～，無～，何～		
945	16	4	妯	1/1		莊局	莊	局		z	uk	6	9	zuk6		～娌：兄弟之妻相稱也		
946	16	4	妹	1/1		亡會	亡	會		m	ui	6	6	mui6		女弟也		
947	16	4	妻	1/1		倉雞	倉	雞		c	ai	1	1	cai1		正配也		
948	16	4	妻	1/1		倉計	倉	計		c	ai	3	3	cai3		以女嫁人也		
949	16	4	妾	1/1		倉接	倉	接		c	ip	3	8	cip3		小妻，副室也。又婦人之謙稱也，臣～		
950	16	4	姆	1/1		亡抱	亡	抱		m	ou	5	5	mou5		女師也。婦人稱其夫之嫂曰大～也		
951	16	4	妲	1/1		湯簡	湯	簡		t	aan	2	2	taan2		～己：商紂之妃也		
952	16	4	姍	1/1		爽奸	爽	奸		s	aan	1	1	saan1		～笑：嘲笑也。～～：行也		
953	16	4	姊	1/1		臧史	臧	史		z	i	2	2	zi2		女兄也		
954	16	4	始	1/1		創史	創	史		c	i	2	2	ci2		初也。未～：未嘗也		
955	16	4	姐	1/1		臧寫	臧	寫		z	e	2	2	ze2		俗呼姊為～。又女子之通稱也		
956	16	4	姑	1/2		光枯	光	枯	E	gw	u	1	1	gwu1		父之姊妹、家姑、家婆也。女之通稱也		
956	16	4	姑	2/2	C	光烏	光	烏		gw	u	1	1	gwu1				
957	16	4	姓	1/1		桑敬	桑	敬		s	ing	3	3	sing3		所以別婚姻、子姓、子孫也。百～：庶民		
958	16	4	委	1/1		汪啟	汪	啟		w	ai	2	2	wai2		任也，棄也。原～：本末也。～係：確實也		
959	16	4	姒	1/1		倉以	倉	以		c	i	5	5	ci5		兄弟之妻相稱也		
960	16	4	姚	1/1		也橋	也	橋		j	iu	4	4	jiu4		姓也。～冶：美好也。嫖～：猛勇也		
961	16	4	姜	1/1		岡槍	岡	槍		g	oeng	1	1	goeng1		姓也		
962	16	4	姦	1/1		岡關	岡	關		g	aan	1	1	gaan1		詐也，淫也。惡人，也通奸		
963	16	4	姨	1/1		也時	也	時		j	i	4	4	ji4		母妻之姊妹也。～太：稱人妾氏也		
964	16	4	姪	1/1		莊掘	莊	掘		z	at	6	9	zat6		從子也，對於伯叔之稱也		
965	16	4	姬	1/1		岡非	岡	非		g	ei	1	1	gei1		眾妾也		
966	16	4	妍	1/1		也虔	也	虔		j	in	4	4	jin4		美也，麗也，媚也。媸～，好醜也		
967	16	4	姻	1/1		也根	也	根		j	an	1	1	jan1		婿家也。今男女親家皆稱姻兄弟		
968	17	1	姿	1/1		臧詩	臧	詩		z	i	1	1	zi1		態也，媚也。～色，～勢		
969	17	1	威	1/1		汪雞	汪	雞		w	ai	1	1	wai1		尊嚴也。～儀，～力，～嚇		
970	17	1	娌	1/1		郎企	郎	企		l	ei	5	5	lei5		妯～，見上		
971	17	1	娑	1/1		桑歌	桑	歌		s	o	1	1	so1		婆～，輕脫也		
972	17	1	娉	1/1		旁經	旁	經		p	ing	1	1	ping1		～婷，美也		
973	17	1	娓	1/1		亡企	亡	企		m	ei	5	5	mei5		～～，不倦也		
974	17	1	娘	1/1		囊祥	囊	祥		n	oeng	4	4	noeng4		姑～，爺～，～兒		
975	17	1	娛	1/1		也殊	也	殊		j	yu	4	4	jyu4		樂也		
976	17	1	娟	1/1		岡酸	岡	酸		g	yun	1	1	gyun1		嬋～，便～，美好也		
977	17	1	娜	1/1		囊妥	囊	妥		n	o	5	5	no5		婀～，𡡅～，柔美也		
978	17	1	娠	1/2		爽艮	爽	艮		s	an	3	3	san3		懷孕身動也。本上平		
978	17	1	娠	2/2	A					s	an	1	1	san1	original			
979	17	1	娣	1/1		當跪	當	跪		d	ai	6	6	dai6		女弟也，～以，妯娌也		
980	17	1	娥	1/1		昂磨	昂	磨		ng	o	4	4	ngo4		好也。～皇，宮～		
981	17	1	娩	1/1		亡璉	亡	璉		m	in	5	5	min5		分～，婦人產子也		
982	17	1	娶	1/1		倉句	倉	句		c	eoi	3	3	ceoi3		～妻也。嫁～，婚～		
983	17	1	婆	1/1		旁磨	旁	磨		p	o	4	4	po4		老婦也。俗稱翁姑為公～		
984	17	1	婚	1/1		方根	方	根		f	an	1	1	fan1		娶婦也		
985	17	1	婦	1/1		夫下上聲			N	f	u	5	5	fu5		女子已嫁也。媳～，大～，小～		
986	17	1	婉	1/1		汪管	汪	管		w	un	2	2	wun2		順也，不忤也		
987	17	1	婢	1/1		旁企	旁	企		p	ei	5	5	pei5		～女也，古時婦人謙稱也		
988	17	1	婪	1/1		郎慚	郎	慚		l	aam	4	4	laam4		貪～		
989	17	1	婭	1/1		戇駕	戇	駕			aa	3	3	aa3		兩壻相稱也，今稱襟兄襟弟		
990	17	1	媒	1/1		亡陪	亡	陪		m	ui	4	4	mui4		～人也。～介，酒～，雀～，～孽，引也		
991	17	2	媚	1/1		亡忌	亡	忌		m	ei	6	6	mei6		謟也，愛也，親順也		
992	17	2	媛	1/1		也倦	也	倦		j	yun	6	6	jyun6		閨女也		
993	17	2	媧	1/1		汪歌	汪	歌		w	o	1	1	wo1		女～氏：古帝名		
994	17	2	媸	1/1		創詩	創	詩		c	i	1	1	ci1		醜也		
995	17	2	媳	1/1		桑激	桑	激		s	ik	1	7	sik1		子婦也		
996	17	2	媵	1/2		也競	也	競	E3	j	ing	6	6	jing6		送也，陪嫁也，附以他物而寄人也		
996	17	2	媵	2/2	C	也近	也	近		j	an	6	6	jan6				
997	17	2	媼	1/2		汪告	汪	告	E	w	ou	3	3	wou3		婦人年老之稱也		
997	17	2	媼	2/2	C	戇告	戇	告			ou	3	3	ou3				
998	17	2	媾	1/1		岡扣	岡	扣		g	au	3	3	gau3		重婚也，結合也		
999	17	2	媽	1/2		亡加	亡	加		m	aa	1	1	maa1		母也。使～，僕婦也。又下上聲		
999	17	2	媽	2/2	A					m	aa	5	5	maa5	also			
1000	17	2	嫁	1/1		岡掛	岡	掛		g	aa	3	3	gaa3		女適人也。推惡於人曰～禍，～害		
1001	17	2	嫂	1/1		桑稿	桑	稿		s	ou	2	2	sou2		兄之妻也		
1002	17	2	嫉	1/1		臧掘	臧	掘		z	at	6	9	zat6		害也		
1003	17	2	嫌	1/1		也鉗	也	鉗		j	im	4	4	jim4		疑也，不滿意也。～疑，～棄，～隙		
1004	17	2	嫗	1/1		也恕	也	恕		j	yu	3	3	jyu3		老婦之稱也。又上去聲		
1005	17	2	嫠	1/2		郎携	郎	携	E	l	ai	4	4	lai4		寡婦也		
1005	17	2	嫠	2/2	C	郎肥	郎	肥		l	ei	4	4	lei4				
1006	17	2	嫡	1/1		當激	當	激		d	ik	1	7	dik1		正妻也，所生之子為～子		
1007	17	2	嫣	1/1		也堅	也	堅		j	in	1	1	jin1		美也，巧笑也		
1008	17	2	嫩	1/1		囊倦	囊	倦		n	yun	6	6	nyun6		物未老也		
1009	17	2	嫜	1/2		創薑	創	薑	E	c	oeng	1	1	coeng1		姑～		
1009	17	2	嫜	2/2	C	莊薑	莊	薑		z	oeng	1	1	zoeng1				
1010	17	2	嬉	1/1		康基	康	基		h	ei	1	1	hei1		游戲也		
1011	17	2	嬌	1/1		岡宵	岡	宵		g	iu	1	1	giu1		柔嫰可愛也		
1012	17	2	嬖	1/1		旁記	旁	記		p	ei	3	3	pei3		賤而得寵也		
1013	17	2	嬪	1/1		邦勤	邦	勤		b	an	4	4	ban4		婦也		
1014	17	3	嬲	1/1		也了	也	了		j	iu	5	5	jiu5		相擾也。俗作怒字解		
1015	17	3	嬭	1/2		囊米	囊	米	E	n	ai	5	5	nai5		母也		
1015	17	3	嬭	2/2	C	囊買	囊	買		n	aai	5	5	naai5				
1016	17	3	嬴	1/1		也瓊	也	瓊		j	ing	4	4	jing4		滿也，餘也，姓也		
1017	17	3	嬰	1/1		也經	也	經		j	ing	1	1	jing1		初生女孩也		
1018	17	3	嬸	1/1		爽敢	爽	敢		s	am	2	2	sam2		叔之妻也。～母，～娘		
1019	17	3	嬾	1/1		郎晚	郎	晚		l	aan	5	5	laan5		同懶，懶惰		
1020	17	3	孃	1/1		囊祥	囊	祥		n	oeng	4	4	noeng4		同娘		
1021	17	3	孀	1/1		爽薑	爽	薑		s	oeng	1	1	soeng1		寡婦也		
1022	17	3	子	1/1		臧史	臧	史		z	i	2	2	zi2		夜半為～時。又嗣也。男～，美稱也		
1023	17	3	孑	1/1		慷結	慷	結		k	it	3	8	kit3		單也，剩也		
1024	17	3	孓	1/1		慷雪	慷	雪		k	yut	3	8	kyut3		孑～，短也，水蟲也		
1025	17	3	孔	1/1		慷拱	慷	拱		k	ung	2	2	kung2		甚也，大也，穴也		
1026	17	3	孕	1/1		也近	也	近		j	an	6	6	jan6		子女未生者也		
1027	17	3	字	1/1		臧事	臧	事		z	i	6	6	zi6		文～也，以女許嫁於人也，乳也，愛也		
1028	17	3	存	1/1		倉權	倉	權		c	yun	4	4	cyun4		在也，察也，恤問也，寄頓也		
1029	17	3	孚	1/1		方姑	方	姑		f	u	1	1	fu1		信也，合也		
1030	17	3	孜	1/1		臧詩	臧	詩		z	i	1	1	zi1		～～，勤也		
1031	17	3	孝	1/1		康教	康	教		h	aau	3	3	haau3		善事父母也。又居父母喪曰守～		
1032	17	3	孟	1/1		亡硬	亡	硬		m	aang	6	6	maang6		長也，始也，大也。～浪，不精細也		
1033	17	3	季	1/1		光計	光	計		gw	ai	3	3	gwai3		少也，末也。春～，夏～，冬～。～世，朝尾		
1034	17	3	孤	1/1		光枯	光	枯		gw	u	1	1	gwu1		少而無父也，獨處也，特也		
1035	17	3	孥	1/1		囊曹	囊	曹		n	ou	4	4	nou4		子也		
1036	17	4	孩	1/1		康排	康	排		h	aai	4	4	haai4		小兒笑也，又幼童也		
1037	17	4	孫	1/1		桑捐	桑	捐		s	yun	1	1	syun1		子之子也		
1038	17	4	孰	1/1		爽局	爽	局		s	uk	6	9	suk6		誰也，何也		
1039	17	4	孱	1/1		爽凡	爽	凡		s	aan	4	4	saan4		弱也		
1040	17	4	孳	1/1		臧詩	臧	詩		z	i	1	1	zi1		～～：勤也		
1041	17	4	孳	1/1		臧次	臧	次		z	i	3	3	zi3		～乳：相生不絕也		
1042	17	4	孵	1/2		邦做	邦	做		b	ou	6	6	bou6		鳥～蛋也。本上平		
1042	17	4	孵	2/2	A					f	u	1	1	fu1	original			
1043	17	4	學	1/1		康昨	康	昨		h	ok	6	9	hok6		～堂，～習，～術，～科，科～		
1044	17	4	孺	1/1		也樹	也	樹		j	yu	6	6	jyu6		幼兒也，屬也。～人：屬於夫，不敢自專		
1045	17	4	孻	1/1		郎街	郎	街		l	aai	1	1	laai1		尾～：老人所生之幼子也		
1046	17	4	孼	1/1		也傑	也	傑		j	it	6	9	jit6		妾侍之子也，妖～也，惡因也		
1047	17	4	孿	1/3		郎捐	郎	捐	E3	l	yun	1	1	lyun1		双生子也。又去聲		
1047	17	4	孿	2/3	C	郎捲	郎	捲		l	yun	2	2	lyun2				
1047	17	4	孿	3/3	A					s	aan	3	3	saan3	also			
1048	17	4	宄	1/1		光啟	光	啟		gw	ai	2	2	gwai2		姦～		
1049	17	4	宂	1/1		也拱	也	拱		j	ung	2	2	jung2		散也，剩也，忙也		
1050	17	4	宅	1/1		莊賊	莊	賊		z	aak	6	9	zaak6		居室也，居其位也，定也		
1051	17	4	宇	1/1		也柱	也	柱		j	yu	5	5	jyu5		簷下也，四方上下也：屋～，～宙		
1052	17	4	守	1/1		爽苟	爽	苟		s	au	2	2	sau2		護也，看管也，操持也		
1053	17	4	安	1/1		戇干	戇	干			on	1	1	on1		定也，靜也，無所勉強也，何也，位置也		
1054	17	4	宋	1/1		桑貢	桑	貢		s	ung	3	3	sung3		姓也。古國名，朝名		
1055	17	4	完	1/1		也權	也	權		j	yun	4	4	jyun4		全也，事畢也，繕修也		
1056	17	4	宏	1/1		汪層	汪	層		w	ang	4	4	wang4		大也，廣也。同弘		
1057	17	4	宓	1/1		方局	方	局		f	uk	6	9	fuk6		通伏。伏羲亦作～羲		
1058	18	1	宕	1/1		打望	打	望		d	ong	6	6	dong6		跌～，無檢制也。延～，延遲不結也		
1059	18	1	宗	1/1		臧恭	臧	恭		z	ung	1	1	zung1		同姓也，人所尊仰也。大～，大數也		
1060	18	1	官	1/1		光歡	光	歡		gw	un	1	1	gwun1		職守也，部位也		
1061	18	1	宙	1/1		莊埠	莊	埠		z	au	6	6	zau6		往古來今也		
1062	18	1	定	1/1		當競	當	競		d	ing	6	6	ding6		安也，不可變動也，靜也，額數也		
1063	18	1	宛	1/1		也捲	也	捲		j	yun	2	2	jyun2		～然也，相肖也		
1064	18	1	宜	1/1		也時	也	時		j	i	4	4	ji4		相～也，應當也		
1065	18	1	客	1/1		康格	康	格		h	aak	3	8	haak3		人～也，寄居也		
1066	18	1	宣	1/1		桑捐	桑	捐		s	yun	1	1	syun1		布也，散也，召也，明也，示也，盡也		
1067	18	1	室	1/1		爽吉	爽	吉		s	at	1	7	sat1		居也。夫稱妻曰～人也		
1068	18	1	宥	1/1		也就	也	就		j	au	6	6	jau6		恕也，寬也，勸食也		
1069	18	1	宦	1/1		汪犯	汪	犯		w	aan	6	6	waan6		仕也，太監也		
1070	18	1	宮	1/1		岡宗	岡	宗		g	ung	1	1	gung1		～室也。古稱五音之一也		
1071	18	1	宰	1/1		臧改	臧	改		z	oi	2	2	zoi2		制也，治也，主也，屠割也		
1072	18	1	害	1/1		康在	康	在		h	oi	6	6	hoi6		傷也，殘也，忌也		
1073	18	1	宴	1/1		也見	也	見		j	in	3	3	jin3		～飲也，～安也。通讌		
1074	18	1	宵	1/1		桑嬌	桑	嬌		s	iu	1	1	siu1		夜也。～小，小人也		
1075	18	1	家	1/1		岡瓜	岡	瓜		g	aa	1	1	gaa1		居也，一門之內也		
1076	18	1	容	1/1		也窮	也	窮		j	ung	4	4	jung4		受也，包函也，儀容也，應也。無～，～日		
1077	18	1	宿	1/1		桑谷	桑	谷		s	uk	1	7	suk1		夜也，住也，守也，平素也，舊也		
1078	18	1	宿	1/2		桑救	桑	救		s	au	3	3	sau3		星～，辰～，列星也。俗讀同右		
1078	18	1	宿	2/2	A					s	uk	1	7	suk1	common			
1079	18	1	寂	1/1		臧極	臧	極		z	ik	6	9	zik6		靜也，無人聲也		
1080	18	1	寄	1/1		岡臂	岡	臂		g	ei	3	3	gei3		託也，寓也，傳也		
1081	18	2	寅	1/1		也勤	也	勤		j	an	4	4	jan4		～時。又敬也。同～，同朝做官也		
1082	18	2	密	1/1		亡掘	亡	掘		m	at	6	9	mat6		稠也，祕也，切近也		
1083	18	2	寇	1/1		慷救	慷	救		k	au	3	3	kau3		攻劫也，兵也，亂起於外也		
1084	18	2	富	1/1		方故	方	故		f	u	3	3	fu3		多財也，充足也		
1085	18	2	寐	1/1		亡忌	亡	忌		m	ei	6	6	mei6		臥也，睡也		
1086	18	2	寒	1/1		看下平聲			N	h	on	4	4	hon4		冷也，窮困也，消歇也，戰懼也		
1087	18	2	寓	1/1		也樹	也	樹		j	yu	6	6	jyu6		寄居也，屬也。託也：～意，～言		
1088	18	2	寖	1/1		臧禁	臧	禁		z	am	3	3	zam3		漸也		
1089	18	2	寞	1/1		亡各	亡	各		m	ok	3	8	mok3		寂～，靜也		
1090	18	2	察	1/1		創刮	創	刮		c	aat	3	8	caat3		查～也，昭明也，考也		
1091	18	2	寡	1/1		光打	光	打		gw	aa	2	2	gwaa2		少也，婦人無夫也		
1092	18	2	寢	1/1		倉敢	倉	敢		c	am	2	2	cam2		臥也，居室也，息也，容貌醜惡也		
1093	18	2	寤	1/1		吳下去聲			N		ng	6	6	ng6		睡醒也		
1094	18	2	寥	1/1		郎橋	郎	橋		l	iu	4	4	liu4		空虛也，又靜也		
1095	18	2	實	1/1		爽掘	爽	掘		s	at	6	9	sat6		充滿也，誠實也，果實也，事實也		
1096	18	2	寧	1/1		囊瓊	囊	瓊		n	ing	4	4	ning4		安也，省視也。～願也：～可，無～，不～		
1097	18	2	寨	1/1		莊賣	莊	賣		z	aai	6	6	zaai6		環列木柵為防禦也。同砦		
1098	18	2	審	1/1		爽敢	爽	敢		s	am	2	2	sam2		詳究也。～是：果然也		
1099	18	2	寫	1/1		桑且	桑	且		s	e	2	2	se2		傾也，洩也，鈔～也，摹畫也		
1100	18	2	寬	1/1		方官	方	官		f	un	1	1	fun1		有餘地也，舒緩不迫也，恕宥也		
1101	18	2	寮	1/1		郎橋	郎	橋		l	iu	4	4	liu4		小窗也，同官也，僧舍也		
1102	18	2	寰	1/1		汪凡	汪	凡		w	aan	4	4	waan4		境域之極大者也		
1103	18	2	寵	1/1		創拱	創	拱		c	ung	2	2	cung2		愛也，尊榮也，妾侍也		
1104	18	3	寶	1/1		邦稿	邦	稿		b	ou	2	2	bou2		珍貴也，愛重也		
1105	18	3	寸	1/1		倉絹	倉	絹		c	yun	3	3	cyun3		十分為一～也。方～，心也		
1106	18	3	寺	1/1		臧事	臧	事		z	i	6	6	zi6		僧所居也。～人，太監也。光祿～，衙門		
1107	18	3	封	1/1		方恭	方	恭		f	ung	1	1	fung1		土地～人也，疆界也，緘也，限也，大也		
1108	18	3	射	1/1		爽謝	爽	謝		s	e	6	6	se6		～箭也，注～也		
1109	18	3	射	1/1		也極	也	極		j	ik	6	9	jik6		厭也		
1110	18	3	將	1/1		臧薑	臧	薑		z	oeng	1	1	zoeng1		～近，～養，～助，～就，～軍		
1111	18	3	將	1/1		臧向	臧	向		z	oeng	3	3	zoeng3		大～，～帥		
1112	18	3	專	1/1		莊捐	莊	捐		z	yun	1	1	zyun1		壹也，誠也，獨也，擅也		
1113	18	3	尉	1/1		汪計	汪	計		w	ai	3	3	wai3		官名也，意取除暴安良也		
1114	18	3	尉	1/1		汪吉	汪	吉		w	at	1	7	wat1		～遲，姓也		
1115	18	3	尊	1/1		臧捐	臧	捐		z	yun	1	1	zyun1		重也，貴也，敬也，一座也。又通樽		
1116	18	3	尋	1/1		倉禽	倉	禽		c	am	4	4	cam4		求也，繼也，重申也，八尺為一～也		
1117	18	3	對	1/1		當句	當	句		d	eoi	3	3	deoi3		答也，當也，向也，配也，偶也，合也		
1118	18	3	導	1/1		當做	當	做		d	ou	6	6	dou6		引也，開啟之也		
1119	18	3	小	1/1		桑繳	桑	繳		s	iu	2	2	siu2		細也，幼也，狹隘也，睇輕也。～視，～睹		
1120	18	3	少	1/1		爽繳	爽	繳		s	iu	2	2	siu2		不多也，不足也。～頃，一陣間也		
1121	18	3	少	1/1		爽呌	爽	叫		s	iu	3	3	siu3		年～，～時		
1122	18	3	尖	1/1		臧兼	臧	兼		z	im	1	1	zim1		銳也，利也		
1123	18	3	尚	1/1		爽象	爽	象		s	oeng	6	6	soeng6		都還也，庶幾也，加也，崇也。通上		
1124	18	3	尠	1/1		桑剪	桑	剪		s	in	2	2	sin2		少也。同鮮		
1125	18	4	尤	1/1		也求	也	求		j	au	4	4	jau4		最也，更加也，異也，過也，怨也		
1126	18	4	尨	1/1		貧狂	貧	狂		p	ong	4	4	pong4		犬也，雜也		
1127	18	4	尬	1/1		岡怪	岡	怪		g	aai	3	3	gaai3		尲～，行不正也		
1128	18	4	就	1/1		臧埠	臧	埠		z	au	6	6	zau6		成也，近也，即也，從也		
1129	18	4	尲	1/1		岡參	岡	參		g	aam	1	1	gaam1		～尬，見上		
1130	18	4	尸	1/1		爽之	爽	之		s	i	1	1	si1		主也，陳也。～位，不稱職也。俗與屍通		
1131	18	4	尹	1/1		汪憤	汪	憤		w	an	5	5	wan5		治也，正也，誠信也。又姓		
1132	18	4	尺	1/1		創隻	創	隻		c	ek	3	8	cek3		十寸為～也。～素，～書，書信也		
1133	18	4	尼	1/1		囊齊	囊	齊		n	ai	4	4	nai4		仲～，孔子，字比邱～。～姑也		
1134	18	4	尻	1/2		港浮	港	浮	E	k	au	4	4	kau4		尾閭骨也		
1134	18	4	尻	2/2	C	慷浮	慷	浮		k	au	4	4	kau4				
1135	18	4	尾	1/1		亡企	亡	企		m	ei	5	5	mei5		～季，收～，頭～，首～，手～。又追也		
1136	18	4	局	1/1		岡族	岡	族		g	uk	6	9	guk6		辦事所也，拘也，促也，時～也，博～也		
1137	18	4	尿	1/1		囊妙	囊	妙		n	iu	6	6	niu6		屎～		
1138	18	4	居	1/1		岡須	岡	須		g	eoi	1	1	geoi1		住也，蓄也。何～，猶言何故如此也		
1139	18	4	屆	1/1		岡怪	岡	怪		g	aai	3	3	gaai3		至也，到也，次也		
1140	18	4	屈	1/1		汪吉	汪	吉		w	at	1	7	wat1		曲也，盡也		
1141	18	4	屋	1/1		戇谷	戇	谷			uk	1	7	uk1		屋宇。又黃～，古帝之黃傘也		
1142	18	4	屍	1/1		爽之	爽	之		s	i	1	1	si1		死人軀體也		
1143	18	4	屐	1/1		慷笛	慷	笛		k	ek	6	9	kek6		木～也。木～兒，日本人也		
1144	18	4	屑	1/1		桑結	桑	結		s	it	3	8	sit3		粉也，瑣碎也。不～，輕視也		
1145	18	4	展	1/1		莊淺	莊	淺		z	in	2	2	zin2		舒也，開也，省視也，寬限也		
1146	19	1	屏	1/1		旁瓊	旁	瓊		p	ing	4	4	ping4		遮蔽也。～營，心不安也。～門，～藩		
1147	19	1	屏	1/1		邦景	邦	景		b	ing	2	2	bing2		斥退也		
1148	19	1	屠	1/1		湯曹	湯	曹		t	ou	4	4	tou4		殺也，劏也		
1149	19	1	屢	1/2		郎句	郎	句	E	l	eoi	3	3	leoi3		多次也		
1149	19	1	屢	2/2	C	郎拒	郎	拒		l	eoi	5	5	leoi5				
1150	19	1	屣	1/1		桑解	桑	解		s	aai	2	2	saai2		履也，草鞋也		
1151	19	1	層	1/1		倉萌	倉	萌		c	ang	4	4	cang4		重也，多級也		
1152	19	1	履	1/1		郎企	郎	企		l	ei	5	5	lei5		鞋也，踐也，行為也		
1153	19	1	屨	1/1		岡髓	岡	髓		g	eoi	5	5	geoi5		麻鞋也		
1154	19	1	屬	1/1		莊谷	莊	谷		z	uk	1	7	zuk1		連也，續也，會也，付託也		
1155	19	1	屬	1/1		爽局	爽	局		s	uk	6	9	suk6		親～也，統～也。若～，汝輩也		
1156	19	1	屯	1/1		湯權	湯	權		t	yun	4	4	tyun4		聚也。～兵		
1157	19	1	屯	1/1		莊詢	莊	詢		z	eon	1	1	zeon1		患難也		
1158	19	1	山	1/1		爽奸	爽	奸		s	aan	1	1	saan1		～嶺也，～墳也		
1159	19	1	屹	1/1		昂吉	昂	吉		ng	at	1	7	ngat1		獨立也		
1160	19	1	𡵆	1/1		岡彼	岡	彼		g	ei	2	2	gei2		山也		
1161	19	1	岌	1/1		慷急	慷	急		k	ap	1	7	kap1		高也，危也。～～		
1162	19	1	岐	1/1		慷肥	慷	肥		k	ei	4	4	kei4		山名，又～路。或作歧		
